,Unnamed: 0,x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,Unnamed: 9,y1,z1
1448,1448,-1.2206725,-7.095888,3.69381,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603564,0,1.7676576951180074,9.45689725077707
1449,1449,0.9616204,8.254543,13.049534,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603592,0,1.9695732173657965,9.568724281990342
1450,1450,1.1572506,3.4166799,13.744488,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603600,0,2.014616915202176,9.698702148451265
1451,1451,1.2309943,-2.6786008,5.6051464000000015,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603631,0,1.8685323982962825,9.57128314719701
1452,1452,-1.5515605,0.47589162,2.850129,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603649,0,1.8251840459149575,9.362075602134077
1453,1453,2.3685153,1.6815145,14.796626000000002,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603668,0,1.8207120828647263,9.531235380701641
1454,1454,0.15389858,7.4992714,11.396839,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603687,0,1.9974670609851968,9.58930551935732
1455,1455,0.050199877,-6.230755,5.156682,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603707,0,1.741349421081152,9.451332447417037
1456,1456,-0.8908035,6.297224,7.565833599999999,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603717,0,1.8831588953762368,9.392643035383298
1457,1457,0.83527696,1.2620251,14.214973,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603746,0,1.863825031929513,9.542746394313344
1458,1458,1.0562553,2.8896174,7.825543,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603768,0,1.895754593187652,9.489295469274248
1459,1459,-0.5380020000000001,-0.861548,7.057617,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603784,0,1.8099287820422525,9.413605272055452
1460,1460,2.434234,3.732665,13.640649,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603794,0,1.8697772716249956,9.545179317499086
1461,1461,-1.4810694,1.1197674,8.025895,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603821,0,1.8464319174522943,9.497888965967846
1462,1462,2.9057033,-2.2029119,8.915144999999997,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603832,0,1.7203890890017288,9.47975005234522
1463,1463,-0.6888398,12.19646,13.085566,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603861,0,2.0464749113465666,9.591987308899174
1464,1464,2.9807892,-5.455286,11.469167,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603898,0,1.8129696309229062,9.65041777280707
1465,1465,-2.077653,5.071957599999998,4.3865104000000015,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603911,0,1.914411266908088,9.486569553470678
1466,1466,0.49575877,-2.5055985,11.859293,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603936,0,1.7768308198245069,9.560424673661409
1467,1467,1.3056077,7.5907740000000015,14.920501000000002,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603947,0,1.9577998547881152,9.727266317971992
1468,1468,-0.11927106,0.61736405,6.2241206,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603976,0,1.9160764724801629,9.618224849854453
1469,1469,2.0803697,-2.938693,6.3472977,23.55658117,87.30922598,-87.9479751586914,3.216,0,30603990,0,1.7649633777734133,9.516411586222324
1470,1470,0.21506388,8.355227000000001,10.433148,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604014,0,1.9700967289105191,9.544946592323353
1471,1471,0.5832685999999999,-4.6409072999999985,11.559935,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604036,0,1.7643177967510286,9.607666590833745
1472,1472,-0.79937947,5.8385587,7.26865,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604053,0,1.8911355900491,9.53486065481249
1473,1473,0.32422793,-3.925323,10.310096,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604063,0,1.7100882586035242,9.558991195469757
1474,1474,0.88382095,8.341339,9.914288,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604092,0,1.9164974046997905,9.570050422890613
1475,1475,-0.9666086,-5.062966,5.198326,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604109,0,1.6992495373282663,9.433972940634677
1476,1476,0.81094986,6.0583186,10.9239855,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604129,0,1.834933099613719,9.480352158077228
1477,1477,-0.21921304,-0.20875363,10.971034,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604146,0,1.7713198162078492,9.526752208096703
1478,1478,1.4443818000000002,-0.8922873,7.457727,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604167,0,1.6884104388018275,9.462350220732711
1479,1479,-0.04721645,6.078174,9.3751955,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604181,0,1.825049420430896,9.459637379341807
1480,1480,1.4497023999999998,-2.73177,12.415757,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604207,0,1.6832105363099272,9.551651714261977
1481,1481,-2.3266168,4.0084467,6.3909764,23.55658117,87.30922598,-87.9479751586914,3.216,0,30604226,0,1.755587532707194,9.45327022966033
1482,1482,-0.9335354,-1.6965191000000002,9.921513,23.55658352,87.30919652,-85.0544509887695,3.216,0,30604243,0,1.6481347443753969,9.467845095573363
1483,1483,1.1090407,7.4575777,13.592425,23.55658352,87.30919652,-85.0544509887695,3.216,0,30604252,0,1.8289637020680634,9.596229777329377
