bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
1.3694038E-10,-4.440892E-16,10.106592,23.55653817,87.30998654,146.6428985595703,3.216,0.0,30574210,0
-1.0964607,1.2808335,10.494949,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574227,0
-1.0406917,-0.4880958,9.258844,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574264,0
-0.9884859,0.45641145,10.486209,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574297,0
-1.7565693,-0.8674183,8.629472,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574335,0
0.52903575,-0.7096095,8.760867,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574344,0
-1.4961531,0.81978035,10.868362,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574374,1
2.9560798E-9,-3.1086245E-15,10.144108,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574383,0
-0.9488138,-1.038855,8.608751,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574413,0
1.6601287,-0.35330537,9.014476,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574421,0
-0.85654694,0.43920878,10.962148,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574452,0
2.5290237E-8,2.220446E-15,9.934498,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574467,0
-1.2911949,-1.2636273,8.661747,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574489,0
1.7990097,-0.86711955,9.141686,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574497,0
-0.64060146,0.40833646,10.635995,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574528,0
4.006642E-9,4.440892E-16,9.741154,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574540,0
-0.7994435,-0.8413011,9.093965,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574566,0
1.5704871,-0.7634606,9.141685,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574584,0
-0.64436424,-0.01716364,10.184646,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574604,0
-1.7014253E-8,0.0,10.177667,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574618,0
-0.48193726,-1.2928156,9.133575,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574644,0
1.7269846,-1.5714743,8.548953,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574654,0
-0.6702519,-0.18396899,10.320428,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574681,0
-0.15534852,0.08114795,10.4312,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574720,0
-0.8431288,-1.0863652,9.058936,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574741,0
1.5115803,-1.4773118,8.708245,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574760,0
-0.51567996,0.07499345,10.314676,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574772,0
-0.05852482,-0.061651185,10.369503,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574797,0
-1.1227263,-1.024892,9.202988,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574804,0
-3.6356163E-9,0.0,9.5183935,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574834,0
-3.5488E-9,-8.881784E-16,9.6118355,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574852,0
3.672146E-8,-2.220446E-15,9.910856,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574875,0
9.915342E-9,8.881784E-16,9.909805,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574893,0
1.9619542,-0.8119446,8.511814,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574911,0
-3.671347E-9,-1.3322676E-15,9.93927,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574950,0
-0.59745467,-1.6790173,10.097752,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574965,0
-3.4919986E-10,-4.440892E-16,9.455192,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574989,0
-1.785635,0.8034321,8.864341,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30574997,0
-1.1804527,0.90754676,10.460602,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30575028,0
0.3194947,0.42060196,10.233895,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30575038,0
0.33533162,-0.46476418,9.123381,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30575065,0
-1.7503985,0.594929,9.321282,23.55653942,87.30998584,146.6428985595703,3.216,0.0,30575074,0
