,Unnamed: 0,x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,Unnamed: 9,y1,z1
1901,1901,2.257734,-1.5567619,13.52284,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612739,0,-0.4072352461382282,9.950879984954645
1902,1902,-1.4323438,-20.948236,8.596085,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612758,0,-1.0466094141363598,9.908709648334089
1903,1903,-0.9145659,-0.26537818,11.14058,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612767,0,-1.0222922410674584,9.947053743182042
1904,1904,0.81603813,11.642273,17.03943,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612796,0,-0.6280857483510202,10.167816218324843
1905,1905,2.0484693,5.4308977,10.349827,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612805,0,-0.4394894113163911,10.173481618637844
1906,1906,-3.5656638,-4.8909583,-0.73458225,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612838,0,-0.5780490779644031,9.8339492684835
1907,1907,-4.8357477,17.489288000000002,8.26154,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612855,0,-0.015671969342102132,9.785005310989114
1908,1908,1.972331,15.986142999999998,8.933878,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612873,0,0.4824121919449114,9.758512501663752
1909,1909,2.7056375,-0.69959956,-4.7146983,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612884,0,0.4456200322288514,9.308008788360711
1910,1910,-3.5450303999999995,8.310992,-2.1277595,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612911,0,0.6904433355405974,8.952050725635091
1911,1911,-3.4175816,10.2816305,6.590796000000001,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612923,0,0.9889856211319012,8.878552589213928
1912,1912,1.4832379999999998,-0.22184193,5.773185,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612950,0,0.9512965198378162,8.781892653192617
1913,1913,6.263122,-35.62636,1.6886487,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612967,0,-0.18724628948932664,8.56110316949973
1914,1914,-2.199781,18.32494,17.559114,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612988,0,0.3889775200757167,8.841181815975007
1915,1915,2.5551202,1.3677719,36.585453,23.55658652,87.30876065,-86.8663101196289,3.216,0,30612995,0,0.41944418768380204,9.704770232019714
1916,1916,-0.27335802,-19.003265,-1.5568653,23.55658652,87.30876065,-86.8663101196289,3.216,0,30613027,0,-0.18512122156532165,9.354232352445877
1917,1917,-5.7143617,-21.474848,-15.3084135,23.55658652,87.30876065,-86.8663101196289,3.216,0,30613046,0,-0.8478007817766273,8.58656485359845
1918,1918,2.484445,28.40615,26.344507,23.55658652,87.30876065,-86.8663101196289,3.216,0,30613067,0,0.06277902228867717,9.139311509969604
