,Unnamed: 0,x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,Unnamed: 9,y1,z1
1812,1812,1.932735,2.9643705,10.163672,23.55659927,87.30918065,85.4661636352539,3.216,0,30499504,0,3.113618855162249,9.358301428916256
1813,1813,0.4089545,-7.293613400000001,-0.7470013000000001,23.55659927,87.30918065,85.4661636352539,3.216,0,30499523,0,2.7896757550162303,9.043756407371706
1814,1814,-2.5378757000000003,0.79169357,6.592536999999999,23.55659927,87.30918065,85.4661636352539,3.216,0,30499533,0,2.7274851045933355,8.967457964664405
1815,1815,-1.2451402,8.870599,11.731582,23.55659927,87.30918065,85.4661636352539,3.216,0,30499562,0,2.9187001472710867,9.053496104992306
1816,1816,1.7173642,-0.8498572,6.48192,23.55659927,87.30918065,85.4661636352539,3.216,0,30499580,0,2.8013972832413634,8.973451351950557
1817,1817,0.047505382,-3.1743596000000003,5.1073403,23.55659927,87.30918065,85.4661636352539,3.216,0,30499602,0,2.615391516961293,8.853111960172651
1818,1818,-3.1226006,7.237161,9.9007015,23.55659927,87.30918065,85.4661636352539,3.216,0,30499611,0,2.759252084092691,8.885719996093428
1819,1819,-0.9839654,4.7349834,9.677074,23.55659927,87.30918065,85.4661636352539,3.216,0,30499640,0,2.820750137738329,8.910352257875738
1820,1820,-0.64955795,-2.5324504,6.2103595999999985,23.55659927,87.30918065,85.4661636352539,3.216,0,30499657,0,2.6541225142375557,8.826310317567362
1821,1821,-1.0076145,2.5595977000000003,7.2837133,23.55659927,87.30918065,85.4661636352539,3.216,0,30499682,0,2.6511802659419383,8.778294317934135
1822,1822,-1.7908582999999998,10.293209,12.326917,23.55659927,87.30918065,85.4661636352539,3.216,0,30499696,1,2.889051624898857,8.888751335197941
1823,1823,-2.6422746,4.637757,11.596215,23.55659927,87.30918065,85.4661636352539,3.216,0,30499716,0,2.9434831035632523,8.973025823515778
1824,1824,-2.11455,-0.723562,7.1449384999999985,23.55659927,87.30918065,85.4661636352539,3.216,0,30499756,0,2.829339983654083,8.916123444439574
1825,1825,-4.3746395,5.1225333,11.2118435,23.55659927,87.30918065,85.4661636352539,3.216,0,30499775,0,2.9007195910192163,8.987581700932
1826,1826,-3.8187141,8.853010000000003,13.794687,23.55659927,87.30918065,85.4661636352539,3.216,0,30499794,0,3.085994922709657,9.137211165820325
1827,1827,-2.7086816,3.829241000000001,8.952047,23.55659927,87.30918065,85.4661636352539,3.216,0,30499803,0,3.109129742087727,9.131447610972968
1828,1828,-0.7680226,1.502359,8.198875,23.55659927,87.30918065,85.4661636352539,3.216,0,30499831,0,3.0591162243094883,9.102419675850255
1829,1829,-1.8017677,5.8778877,11.81525,23.55659927,87.30918065,85.4661636352539,3.216,0,30499847,0,3.146855360714888,9.186861210720325
1830,1830,-2.5017178,5.9691595999999985,9.29173,23.55659927,87.30918065,85.4661636352539,3.216,0,30499870,0,3.23470446049603,9.190125433125948
1831,1831,-1.169913,-0.6293131999999999,9.062757,23.55659927,87.30918065,85.4661636352539,3.216,0,30499890,0,3.1144302291470405,9.186160870399188
1832,1832,-0.43048915,6.5269737,8.383215,23.55659927,87.30918065,85.4661636352539,3.216,0,30499907,0,3.2206515456534364,9.161167791727618
1833,1833,-0.49854615,0.4710754,11.212839,23.55659927,87.30918065,85.4661636352539,3.216,0,30499915,0,3.1350662335481263,9.225029605838513
1834,1834,-0.6355090999999999,6.3239837,5.959577,23.55659927,87.30918065,85.4661636352539,3.216,0,30499945,0,3.2343268039730626,9.123386746855472
1835,1835,-2.1485882000000003,0.2666745,7.2308309999999985,23.55659927,87.30918065,85.4661636352539,3.216,0,30499963,0,3.141953494342382,9.06447767662391
1836,1836,0.98812854,5.2021747000000005,8.87877,23.55659927,87.30918065,85.4661636352539,3.216,0,30499984,0,3.206081441906563,9.058697204062957
1837,1837,-1.5221351,5.5381875,6.0161934,23.55659927,87.30918065,85.4661636352539,3.216,0,30499997,0,3.2786722756465685,8.963994012058633
1838,1838,-0.41683018,0.44871074,8.285109,23.55659927,87.30918065,85.4661636352539,3.216,0,30500024,0,3.1905848292751653,8.942862542129166
1839,1839,-3.4882717000000003,7.2656946,5.743576,23.55659927,87.30918065,85.4661636352539,3.216,0,30500037,0,3.3174296675758703,8.843279216293551
1840,1840,-1.0995926,0.9557518,8.275924,23.55659927,87.30918065,85.4661636352539,3.216,0,30500061,0,3.2439183601301003,8.825619304114788
